doctor_id,doctor_name,specialty,department_id
179,Bailey Rocha,Orthopedics,17
180,Amanda Foster,Emergency,45
181,Joseph Haynes,General Medicine,48
182,Ruth Castillo,General Medicine,50
183,Carrie Sparks,Neurology,45
184,Scott Kirby,General Medicine,6
185,Jeffrey Beasley,Cardiology,5
186,Julie Anthony,Radiology,4
187,Michael Jones PhD,Cardiology,39
188,Mario Gonzales,Pediatrics,33
189,Matthew Barr,Dermatology,24
190,Virginia Johnston,ENT,35
191,Scott Mosley,Radiology,27
192,Ronald Stephens,ENT,5
193,Christopher Ramirez,Oncology,1
194,Jacqueline Hill,Radiology,28
195,Mary Payne,Oncology,40
196,Jessica Mendoza,General Medicine,41
197,Donna Mason,Pediatrics,30
198,Lisa Mcbride,Dermatology,49
199,Joseph Hunt,Pediatrics,31
200,Michael Brown,Oncology,41
201,Sarah Jordan,Emergency,22
202,Jennifer Peters,Orthopedics,17
203,Kristen Alvarez,Pediatrics,19
204,Alejandro Moore,Radiology,20
205,Robert Taylor,Pediatrics,39
206,Katrina Rogers,Radiology,11
207,Jimmy Jacobs,Dermatology,50
208,Todd Morris,ENT,47
209,Melissa Buchanan,Orthopedics,27
210,Stacy Armstrong,Orthopedics,37
211,Evan Rivera,General Medicine,14
212,John Soto,Neurology,1
213,Sara Williams,Neurology,37
214,Paul Roman,Pediatrics,28
215,Walter Smith,Cardiology,5
216,Vanessa Calderon,Neurology,49
217,Robert Hughes,Orthopedics,21
218,Scott Ward,Emergency,48
219,Haley Garcia,General Medicine,7
220,Karen Shelton,Oncology,31
221,Joel Walls,Orthopedics,36
222,Jane Howell,Cardiology,26
223,Lisa Craig,Oncology,45
224,Jeffrey Williamson,Pediatrics,1
225,Alexander Miller,Pediatrics,10
226,Jenna Hayes,Oncology,28
227,Elizabeth Booker,ENT,32
228,Nicholas Beck,General Medicine,18
229,Bradley Tucker,Pediatrics,5
230,Michael Meza,Oncology,3
231,Aaron Mayer,General Medicine,19
232,Kayla Johnson,Dermatology,32
233,Michael Ford,Orthopedics,29
234,Sean Fisher,ENT,15
235,Kenneth Goodman,Emergency,36
236,Jamie Townsend,ENT,32
237,Valerie Harris,Oncology,29
238,Christopher Clark,Neurology,47
239,Ronald Wilcox,Oncology,27
240,Sarah White,Oncology,31
241,Denise Simon,General Medicine,19
242,Travis Zhang,Dermatology,6
243,Bonnie Black,ENT,13
244,Amy Johnson,Orthopedics,34
245,Lori Anderson,General Medicine,31
246,Maria Nguyen,Dermatology,8
247,Richard Zhang,ENT,28
248,Melissa Griffin,Radiology,6
249,Kendra Gill,Pediatrics,13
250,Jonathan Brown,Orthopedics,19
251,Willie Juarez,Orthopedics,32
252,Perry Johnson,Pediatrics,27
253,Patrick Reyes,General Medicine,8
254,Denise Rodriguez,ENT,49
255,Rebecca Perkins DDS,Neurology,39
256,Caroline Warren,Cardiology,46
257,Mr. Adrian Rose,Neurology,8
258,Grace Camacho,Emergency,34
259,Robert Mcdonald,General Medicine,47
260,Emily Miller,ENT,44
261,Meagan Jackson,Orthopedics,39
262,Catherine Harrison,Radiology,45
263,Christy Kirby,Radiology,4
264,Stephanie Miller,Cardiology,22
265,Thomas Kelly DDS,Dermatology,36
266,Annette Stephens DDS,Emergency,18
267,Donald Freeman,Pediatrics,10
268,Gary Vargas,Orthopedics,43
269,Lauren Johnson,Pediatrics,10
270,Susan Kline,Neurology,42
271,Joshua George,Pediatrics,47
272,James Clark,Pediatrics,18
273,Deborah Reyes,Cardiology,27
274,Chad Barker,ENT,14
275,Melissa Hamilton MD,Cardiology,16
276,Sara Lowe,Cardiology,20
277,Craig Gilmore,Radiology,46
278,Thomas Collins,General Medicine,37
279,Bryan Wilson,ENT,22
280,Scott Taylor,Oncology,2
281,Thomas Roberts,Neurology,13
282,Erica Ramirez,Emergency,3
283,Darin Rodriguez,Orthopedics,19
284,Rebecca Hudson,Radiology,5
285,Ronald Miranda,Neurology,40
286,Keith Harris,Dermatology,23
287,Kirk Gray,Dermatology,39
288,Maureen Holland,Emergency,45
289,Sandra Fletcher,Dermatology,44
290,Robert Hernandez,Oncology,36
291,Amber Andrade,Cardiology,15
292,Christina Crawford,Cardiology,7
293,Rachel Smith,Pediatrics,40
294,Brandon Anderson,ENT,16
295,Nicole Kidd,ENT,17
296,Thomas Matthews,Cardiology,2
297,Melanie Casey,Pediatrics,9
298,Joshua Tran,General Medicine,4
299,Christine Clark,Emergency,50
300,Julia Townsend,General Medicine,30
301,Melissa Williamson,ENT,36
302,Michael Dixon,Cardiology,50
303,John Ramirez,Dermatology,43
304,Matthew Smith,Oncology,31
305,James Carr,Radiology,6
306,Gabriel Khan,Oncology,40
307,Jennifer Barker,Dermatology,45
308,Dakota Hartman,Orthopedics,48
309,Andrea Marks,Dermatology,45
310,Kathryn Carter,Orthopedics,22
311,Kimberly Daugherty,Dermatology,44
312,Megan Jimenez DVM,Oncology,33
313,Michael Ford,Pediatrics,35
314,William Little,ENT,9
315,John Hill,ENT,50
316,Craig Price,Radiology,33
317,William Cannon,Radiology,5
318,Michelle Cooper,Emergency,3
319,Lisa Holmes,Neurology,27
320,Scott Combs,Radiology,47
321,Heather Watts,General Medicine,47
322,Theodore Morrison,Neurology,29
323,Crystal Taylor,ENT,14
324,Terri Juarez,Emergency,11
325,Veronica Fisher,Neurology,48
326,William Johnson Jr.,Cardiology,31
327,Brenda Burns,Emergency,44
328,Tracy Gardner,Radiology,11
329,David Lambert,General Medicine,47
330,Samantha Townsend,Orthopedics,9
331,Laura Bell,Radiology,18
332,Nancy Carter,Pediatrics,37
333,Ray Poole,General Medicine,27
334,Lindsey Guerrero,Orthopedics,1
335,Brian Mcconnell,Dermatology,40
336,Aaron Zuniga,Orthopedics,20
337,Kimberly Johnson,General Medicine,11
338,Luis Cook,Oncology,3
339,Terri Rodriguez,General Medicine,13
340,Justin Blair,Oncology,3
341,Joseph Ellis,Dermatology,41
342,Christopher Ali,Neurology,48
343,Thomas Vega,Emergency,7
344,Christopher Parker,Radiology,23
345,Gloria Craig,Dermatology,11
346,Penny Rivas,Emergency,1
347,John Anderson,Dermatology,4
348,Kevin Beard,Cardiology,27
349,Daniel Cohen,ENT,35
350,Jesus Robinson,Neurology,35
351,Mrs. Jennifer Munoz,Orthopedics,48
352,Mr. Austin Cook MD,Oncology,5
353,Phillip Boyd,Oncology,9
354,David Baker,General Medicine,25
355,Dylan Jackson,General Medicine,38
356,Lucas Hunter,Orthopedics,49
357,Danielle Gilbert,Radiology,18
358,Jack Terry,Neurology,39
359,Michael Martinez,Neurology,31
360,Virginia Palmer,Emergency,18
361,Sabrina Hensley,Radiology,7
362,Adam Morgan,Emergency,2
363,Michael Johnson,Radiology,35
364,James Moore,Cardiology,42
365,Alexis Lyons,Emergency,45
366,Kathleen Carroll,Oncology,19
367,Lindsey Huffman MD,ENT,24
368,Autumn Fry,Pediatrics,12
369,Amy Stephens,Orthopedics,34
370,Richard Powers,Orthopedics,16
371,James Wyatt,Radiology,10
372,Rachel Gonzalez,General Medicine,40
373,Gabrielle Giles,Cardiology,16
374,Kari Montgomery,General Medicine,20
375,George Davis,Cardiology,30
376,Jessica Davis,Cardiology,23
377,Emily Mccann,Neurology,9
378,Jerry Dean,Orthopedics,30
379,Jodi Butler,ENT,28
380,Madison Christensen,ENT,41
381,David Foster,Oncology,34
382,Travis Mitchell,Cardiology,36
383,Eric Walsh,Pediatrics,28
384,Melissa Sosa,Emergency,23
385,Tanya Myers,Oncology,50
386,Amy Sharp,Radiology,21
387,Courtney Jones,Pediatrics,28
388,Robert Baker,ENT,48
389,Kristen Chambers,Cardiology,46
390,Pamela Brooks,Pediatrics,42
391,Nicole Newman,Emergency,40
392,Steven Mitchell,Cardiology,13
393,Cole Thomas,Radiology,26
394,William Rogers,Orthopedics,47
395,Jeremy Werner,Emergency,38
396,Shelly Stanton,Pediatrics,31
397,Robin Petersen,General Medicine,15
398,Jacob Joseph,Dermatology,41
399,William Andrade,Neurology,38
400,Robert Woods,Radiology,28
401,Brandon Rodriguez,Oncology,22
402,Monica Ramirez,Emergency,20
403,Stephen Hendrix,Emergency,13
404,Kristin Garcia,ENT,4
405,Sylvia Newman,Emergency,45
406,Craig Chapman,Oncology,20
407,Ryan Johnson,General Medicine,21
408,Chelsea Thompson,Pediatrics,48
409,Amy Hayes,Oncology,36
410,Omar Fletcher,ENT,47
411,Larry Johnson,ENT,15
412,Heidi Clay,Pediatrics,15
413,James Cox,Oncology,9
414,Bonnie Estrada,Neurology,29
415,Johnathan Sparks,Cardiology,40
416,Andrew Klein,General Medicine,47
417,Ronald Gonzalez,Orthopedics,7
418,Shawn Bernard,Emergency,44
419,Kim Smith,Emergency,21
420,Christine Lawson,Oncology,31
421,Brett Steele,Neurology,7
422,Judy Blankenship,Oncology,45
423,Brianna Baker,Dermatology,2
424,Ricky Martinez,Radiology,15
425,David Wilkins,Orthopedics,3
426,Lisa Petersen,ENT,9
427,Tristan Baker,ENT,35
428,Steven Andersen,Oncology,48
429,Mary Johnson,General Medicine,2
430,Monica Perez,Pediatrics,43
431,Annette Gray,Emergency,49
432,Kelly Glover,Pediatrics,49
433,Jennifer May,Radiology,40
434,Cassandra Dunn,ENT,49
435,John Henderson,Emergency,48
436,John Eaton,Pediatrics,44
437,Mike Johnson,Orthopedics,49
438,Heather Brown,Dermatology,2
439,Amanda Larsen,ENT,20
440,Nancy Moore,Oncology,46
441,Maureen French,Dermatology,10
442,Joe Burch,Oncology,44
443,Aaron Rose,Pediatrics,2
444,Shannon Williams MD,Neurology,25
445,Tracy Clark,Cardiology,1
446,Nicholas Spencer,General Medicine,49
447,Elizabeth Gregory,Pediatrics,3
448,William Diaz,Orthopedics,12
449,Eric Garcia,Cardiology,18
450,Carrie Chavez,Radiology,16
451,Helen Hoffman,ENT,15
452,April Terry,Cardiology,27
453,Jordan Price,Dermatology,47
454,Richard Snyder,Oncology,3
455,Andrew Sanders,Cardiology,33
456,Norma Guzman,Pediatrics,17
457,Melissa Stewart,Cardiology,1
458,Nicole Johnson,Cardiology,3
459,Jessica Foster,Cardiology,49
460,Christopher Johnson,Emergency,24
461,Bradley Young,ENT,49
462,Julie Castillo,General Medicine,5
463,Patrick Miller,Emergency,32
464,David Patton,Emergency,30
465,Rachel Knapp,Emergency,42
466,Wanda Clark,Cardiology,18
467,Anita Wallace,Pediatrics,35
468,Stephanie Stone,Dermatology,45
469,Michele Dunn,ENT,50
470,Jason Castillo,Emergency,10
471,Andrea Rogers,Cardiology,8
472,Renee Anderson,General Medicine,46
473,Nancy Smith,Oncology,3
474,Anthony Brady,Pediatrics,13
475,Raymond Harris,Neurology,39
476,James Melton,Orthopedics,7
477,Chelsea Mann,Neurology,7
478,Laura Miller,Cardiology,34
479,Michelle Phillips,Radiology,32
480,Cassandra Young,Emergency,16
481,Mike Martin,Radiology,33
482,Jack Garcia,Pediatrics,43
483,Kayla Riley,Radiology,47
484,Susan Morales,ENT,33
485,Michael Baker,Cardiology,50
486,Leslie Moore,Orthopedics,15
487,Mary Gomez,ENT,22
488,Joel Reed,Dermatology,14
489,William Hood,Dermatology,35
490,Roberta Kelley,Dermatology,31
491,Laura Stewart,Oncology,23
492,Brent Gonzalez,Pediatrics,29
493,Peter Hoover,Emergency,30
494,Richard Wheeler,Cardiology,2
495,Martin Gibbs,Oncology,32
496,Trevor Ward,Neurology,12
497,Allison Koch,Neurology,27
498,Amy Brewer,Emergency,31
499,Shelby Lopez,Neurology,32
500,Margaret Brown,Cardiology,27
